Module                  | Self CPU total | CPU total | Self CUDA total | CUDA total | Self CPU Mem | CPU Mem | Self CUDA Mem | CUDA Mem  | Number of Calls
------------------------|----------------|-----------|-----------------|------------|--------------|---------|---------------|-----------|----------------
DistributedDataParallel |                |           |                 |            |              |         |               |           |                
└── module              |                |           |                 |            |              |         |               |           |                
 ││└── bn2              | 121.097us      | 320.017us | 600.800us       | 1.731ms    | 0 b          | 0 b     | 74.27 Mb      | 371.33 Mb | 1              
 ├── layer3             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 101.198us      | 362.285us | 2.836ms         | 11.306ms   | 0 b          | 0 b     | 37.13 Mb      | 148.53 Mb | 1              
 ││├── bn1              | 115.660us      | 302.639us | 404.032us       | 1.140ms    | 0 b          | 0 b     | 37.13 Mb      | 185.67 Mb | 1              
 ││├── relu             | 80.297us       | 161.505us | 343.648us       | 983.584us  | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 154.838us      | 576.454us | 2.666ms         | 10.627ms   | 0 b          | 0 b     | 37.13 Mb      | 403.91 Mb | 1              
 ││├── bn2              | 116.216us      | 306.307us | 415.808us       | 1.176ms    | 0 b          | 0 b     | 37.13 Mb      | 185.67 Mb | 1              
 ││├── downsample       |                |           |                 |            |              |         |               |           |                
 │││├── 0               | 95.677us       | 338.692us | 475.872us       | 1.865ms    | 0 b          | 0 b     | 37.13 Mb      | 148.53 Mb | 1              
 │││└── 1               | 116.151us      | 303.582us | 400.512us       | 1.130ms    | 0 b          | 0 b     | 37.13 Mb      | 185.67 Mb | 1              
 │├── 1                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 117.344us      | 425.835us | 2.650ms         | 10.559ms   | 0 b          | 0 b     | 37.13 Mb      | 403.91 Mb | 1              
 ││├── bn1              | 114.679us      | 299.385us | 403.104us       | 1.138ms    | 0 b          | 0 b     | 37.13 Mb      | 185.67 Mb | 1              
 ││├── relu             | 80.921us       | 162.054us | 344.320us       | 985.632us  | 0 b          | 0 b     | 0 b           | 0 b       | 2              
 ││├── conv2            | 121.532us      | 440.630us | 2.652ms         | 10.568ms   | 0 b          | 0 b     | 37.13 Mb      | 403.91 Mb | 1              
 ││└── bn2              | 120.569us      | 324.744us | 404.128us       | 1.141ms    | 0 b          | 0 b     | 37.13 Mb      | 185.67 Mb | 1              
 ├── layer4             |                |           |                 |            |              |         |               |           |                
 │├── 0                 |                |           |                 |            |              |         |               |           |                
 ││├── conv1            | 95.365us       | 337.448us | 2.840ms         | 11.321ms   | 0 b          | 0 b     | 18.57 Mb      | 74.27 Mb  | 1              
 ││├── bn1              | 139.745us      | 376.234us | 250.656us       | 681.376us  | 0 b          | 0 b     | 18.57 Mb      | 92.85 Mb  | 1              
 ││├── relu             | 80.155us       | 161.212us | 199.008us       | 548.992us  | 0 b          | 0 b     | 0 b           | 0 b       | 2              
